min_from_zero,count
3800.0,13
3805.0,197186
3805.0,5
3810.0,1
3810.0,188849
3815.0,273
3815.0,160183
3820.0,16458
3820.0,161070
3825.0,174477
3825.0,29151
3830.0,167660
3830.0,36589
3835.0,164105
3835.0,32932
3840.0,165115
3845.0,161013
3850.0,155430
3855.0,152891
3860.0,150352
3865.0,149407
3870.0,149400
3875.0,146939
3880.0,145867
3885.0,143747
3890.0,144095
3895.0,137084
3900.0,142345
3905.0,144114
3910.0,139742
3915.0,140586
3920.0,132642
3925.0,128747
3930.0,128645
3935.0,126935
3940.0,121670
3945.0,119454
3950.0,123905
3955.0,119756
3960.0,117936
3965.0,115412
3970.0,114212
3975.0,113321
3980.0,111704
3985.0,110216
3990.0,113604
3995.0,114591
4000.0,115558
4005.0,114491
4010.0,115430
4015.0,116374
4020.0,117703
4025.0,119025
4030.0,120373
4035.0,122163
4040.0,120526
4045.0,119611
4050.0,120588
4055.0,117565
4060.0,117969
4065.0,117585
4070.0,116621
4075.0,120225
4080.0,121084
4085.0,122091
4090.0,122991
4095.0,123668
4100.0,125296
4105.0,125581
4110.0,127735
4115.0,130517
4120.0,132117
4125.0,134053
4130.0,138241
4135.0,138280
4140.0,148623
4145.0,141524
4150.0,142105
4155.0,141497
4160.0,143367
4165.0,144044
4170.0,141862
4175.0,140537
4180.0,138434
4185.0,141850
4190.0,142118
4195.0,140892
4200.0,141553
4205.0,141489
4210.0,143248
4215.0,144604
4220.0,144150
4225.0,146518
4230.0,145654
4235.0,150179
4240.0,153582
4245.0,161618
4250.0,167466
4255.0,170062
4260.0,169301
4265.0,171762
4270.0,170974
4275.0,167443
4280.0,169451
4285.0,168675
4290.0,169526
4295.0,178154
4300.0,191033
4305.0,187456
4310.0,184069
4315.0,187448
4320.0,192637
4325.0,183341
4330.0,183265
4335.0,196445
4340.0,194099
4345.0,203749
4350.0,209733
4355.0,205694
4360.0,206875
4365.0,209199
4370.0,212634
4375.0,224764
4380.0,233904
4385.0,231152
4390.0,224560
4395.0,231104
4400.0,230699
4405.0,221940
4410.0,228859
4415.0,225680
4420.0,226165
4425.0,234086
4430.0,238908
4435.0,233967
4440.0,237733
4445.0,237792
4450.0,257553
4455.0,238473
4460.0,237681
4465.0,241046
4470.0,254425
4475.0,249451
4480.0,359295
4485.0,336990
4490.0,340208
4495.0,394186
4500.0,296341
4505.0,350056
4510.0,295386
4515.0,303448
4520.0,312092
4525.0,336124
4530.0,194888
4535.0,300298
4540.0,409532
4545.0,419666
4550.0,386835
4555.0,348046
4560.0,375477
4565.0,322032
4570.0,316217
4575.0,320739
4580.0,299862
4585.0,299621
4590.0,318199
4595.0,313845
4600.0,311721
4605.0,311577
4610.0,339323
4615.0,321905
4620.0,335113
4625.0,351850
4630.0,353371
4635.0,326358
4640.0,326914
4645.0,316711
4650.0,328901
4655.0,315165
4660.0,328562
4665.0,315631
4670.0,311920
4675.0,318988
4680.0,319396
4685.0,332561
4690.0,349471
4695.0,441064
4700.0,451362
4705.0,462424
4710.0,376804
4715.0,370210
4720.0,331553
4725.0,336400
4730.0,325770
4735.0,348540
4740.0,376090
4745.0,388932
4750.0,386086
4755.0,375022
4760.0,354410
4765.0,439293
4770.0,391528
4775.0,387943
4780.0,424683
4785.0,481211
4790.0,376054
4795.0,490258
4800.0,413459
4805.0,391404
4810.0,379555
4815.0,334494
4820.0,347081
4825.0,484305
4830.0,507924
4835.0,473981
4840.0,470297
4845.0,451939
4850.0,549350
4855.0,568168
4860.0,568673
4865.0,567735
4870.0,554891
4875.0,521229
4880.0,510525
4885.0,556119
4890.0,493487
4895.0,478340
4900.0,467098
4905.0,436491
4910.0,459949
4915.0,451358
4920.0,359844
4925.0,450794
4930.0,471635
4935.0,466701
4940.0,376929
4945.0,347967
4950.0,301335
4955.0,263360
4960.0,223445
4965.0,213463
4970.0,193465
4975.0,181823
4980.0,182558
4985.0,174721
4990.0,167915
4995.0,177361
5000.0,106473
5005.0,64108
